rank,overall_score,collusion_score,whale_score,sybil_score,bias_score,voting_method,stake_method,slashing_method,consensus_threshold,slashing_rate,sybil_resistance,max_voting_power
1,0.8221,0.7933,0.7417,0.9267,0.8267,weighted,token_based,progressive,0.85,0.3,0.75,0.5
2,0.8187,0.8133,0.7217,0.9133,0.8267,weighted,token_based,progressive,0.8,0.3,0.375,0.9
3,0.8187,0.82,0.7183,0.9017,0.835,weighted,token_based,progressive,0.8,0.3,0.875,0.3
4,0.8183,0.81,0.73,0.9317,0.8017,weighted,token_based,progressive,0.85,0.3,0.875,0.3
5,0.8175,0.7967,0.745,0.9167,0.8117,weighted,token_based,progressive,0.85,0.3,0.75,0.2
6,0.8175,0.76,0.8417,0.8483,0.82,simple_majority,token_based,exponential,0.75,0.15,1.0,0.5
7,0.8171,0.805,0.72,0.9317,0.8117,weighted,token_based,progressive,0.85,0.3,1.0,0.3
8,0.8171,0.7817,0.805,0.8417,0.84,simple_majority,equal_weight,progressive,0.7,0.15,1.0,0.7
9,0.8171,0.7983,0.7183,0.9033,0.8483,weighted,reputation_based,progressive,0.8,0.3,1.0,0.1
10,0.8171,0.7983,0.7983,0.855,0.8167,simple_majority,equal_weight,none,0.65,0.25,0.75,1.0
11,0.8171,0.815,0.8067,0.8133,0.8333,simple_majority,token_based,progressive,0.55,0.1,0.375,1.0
12,0.8167,0.81,0.815,0.835,0.8067,simple_majority,equal_weight,linear,0.65,0.3,0.875,0.7
13,0.8163,0.7883,0.7933,0.84,0.8433,simple_majority,equal_weight,exponential,0.7,0.1,0.875,0.7
14,0.8163,0.8183,0.8267,0.79,0.83,simple_majority,token_based,exponential,0.65,0.05,0.625,0.3
15,0.8163,0.7917,0.7267,0.9067,0.84,weighted,reputation_based,progressive,0.8,0.3,0.375,1.0
16,0.8163,0.7417,0.845,0.8717,0.8067,weighted,equal_weight,linear,0.75,0.05,1.0,0.3
17,0.8163,0.805,0.83,0.8133,0.8167,simple_majority,token_based,exponential,0.5,0.3,1.0,0.3
18,0.8163,0.8233,0.7033,0.905,0.8333,weighted,token_based,progressive,0.8,0.3,0.625,0.8
19,0.8158,0.8267,0.715,0.9183,0.8033,weighted,reputation_based,progressive,0.85,0.25,0.875,0.1
20,0.8158,0.8183,0.725,0.8883,0.8317,weighted,token_based,progressive,0.8,0.3,0.5,0.7
21,0.8158,0.8,0.7217,0.91,0.8317,weighted,token_based,progressive,0.8,0.3,0.75,0.3
22,0.8158,0.8,0.72,0.9267,0.8167,weighted,reputation_based,progressive,0.85,0.25,0.375,0.1
23,0.8158,0.8233,0.7133,0.9117,0.815,weighted,reputation_based,progressive,0.85,0.3,0.625,0.4
24,0.8158,0.7967,0.8583,0.8383,0.77,weighted,equal_weight,none,0.7,0.15,0.625,0.7
25,0.8158,0.8233,0.7067,0.92,0.8133,weighted,token_based,progressive,0.8,0.3,1.0,0.7
26,0.8158,0.8067,0.7367,0.9033,0.8167,weighted,token_based,progressive,0.85,0.3,0.0,0.1
27,0.8158,0.76,0.8467,0.8567,0.8,simple_majority,equal_weight,progressive,0.75,0.05,1.0,0.7
28,0.8154,0.78,0.7483,0.9117,0.8217,quadratic,token_based,progressive,0.8,0.3,0.875,0.2
29,0.8154,0.8017,0.7233,0.9,0.8367,weighted,reputation_based,progressive,0.8,0.3,0.25,0.1
30,0.8154,0.8167,0.7133,0.9017,0.83,weighted,token_based,progressive,0.8,0.3,0.375,0.1
31,0.8154,0.8133,0.7217,0.9217,0.805,weighted,reputation_based,progressive,0.85,0.3,1.0,0.3
32,0.8154,0.8117,0.7317,0.92,0.7983,weighted,token_based,progressive,0.85,0.3,1.0,0.9
33,0.815,0.815,0.72,0.915,0.81,weighted,reputation_based,progressive,0.85,0.3,0.75,1.0
34,0.815,0.725,0.8667,0.8983,0.77,weighted,equal_weight,none,0.8,0.1,1.0,0.7
35,0.815,0.8017,0.7117,0.9117,0.835,weighted,reputation_based,progressive,0.8,0.3,0.875,0.2
36,0.815,0.8233,0.725,0.9117,0.8,weighted,token_based,progressive,0.85,0.3,0.625,1.0
37,0.8146,0.82,0.705,0.92,0.8133,weighted,reputation_based,progressive,0.8,0.3,0.875,0.7
38,0.8146,0.7867,0.7333,0.9183,0.82,quadratic,token_based,progressive,0.8,0.3,1.0,0.1
39,0.8146,0.7883,0.82,0.82,0.83,weighted,equal_weight,progressive,0.7,0.3,0.75,0.3
40,0.8146,0.7517,0.8317,0.8483,0.8267,simple_majority,reputation_based,linear,0.75,0.2,0.75,0.4
41,0.8146,0.745,0.8533,0.8583,0.8017,simple_majority,token_based,exponential,0.75,0.3,0.875,0.3
42,0.8146,0.8083,0.7333,0.9117,0.805,weighted,reputation_based,progressive,0.85,0.3,1.0,1.0
43,0.8146,0.7533,0.8383,0.8783,0.7883,simple_majority,reputation_based,progressive,0.75,0.0,1.0,0.5
44,0.8142,0.78,0.825,0.835,0.8167,simple_majority,token_based,exponential,0.7,0.0,0.875,0.2
45,0.8142,0.745,0.87,0.875,0.7667,simple_majority,token_based,none,0.75,0.1,1.0,0.5
46,0.8142,0.8217,0.8333,0.8133,0.7883,quadratic,equal_weight,progressive,0.7,0.3,1.0,1.0
47,0.8142,0.8117,0.7083,0.9083,0.8283,weighted,token_based,progressive,0.8,0.3,0.0,0.5
48,0.8142,0.82,0.8133,0.7967,0.8267,simple_majority,hybrid,linear,0.51,0.15,0.875,0.8
49,0.8142,0.75,0.8383,0.885,0.7833,simple_majority,reputation_based,progressive,0.75,0.15,1.0,0.2
50,0.8142,0.83,0.795,0.8233,0.8083,quadratic,equal_weight,none,0.7,0.05,0.75,0.5
