real_world_rank,overall_score,collusion_score,whale_score,sybil_score,bias_score,top_150_rank,voting_method,stake_method,slashing_method,consensus_threshold,slashing_rate,sybil_resistance,max_voting_power
1,0.7837,0.7817,0.7367,0.7867,0.83,,quadratic,hybrid,progressive,0.65,0.25,0.95,1.0
2,0.7825,0.7867,0.72,0.8083,0.815,,quadratic,hybrid,none,0.65,0.25,0.95,1.0
3,0.7821,0.7917,0.785,0.745,0.8067,,simple_majority,token_based,linear,0.5,0.2,0.95,1.0
4,0.7812,0.7883,0.7583,0.8033,0.775,,quadratic,hybrid,exponential,0.65,0.25,0.95,1.0
5,0.7788,0.7817,0.7117,0.825,0.7967,,quadratic,hybrid,linear,0.65,0.1,0.95,1.0
6,0.7788,0.7567,0.7583,0.795,0.805,,quadratic,hybrid,linear,0.65,0.25,0.95,1.0
7,0.7783,0.7433,0.7567,0.8233,0.79,,quadratic,hybrid,linear,0.65,0.3,0.95,1.0
8,0.7779,0.8017,0.7433,0.7983,0.7683,,quadratic,hybrid,none,0.65,0.0,0.95,1.0
9,0.7775,0.795,0.7733,0.7683,0.7733,,simple_majority,token_based,linear,0.5,0.25,0.95,1.0
10,0.7775,0.8017,0.75,0.7833,0.775,,quadratic,hybrid,exponential,0.65,0.3,0.95,1.0
11,0.7762,0.7783,0.7517,0.78,0.795,,simple_majority,token_based,linear,0.5,0.05,0.95,1.0
12,0.7762,0.7533,0.735,0.825,0.7917,,quadratic,hybrid,progressive,0.65,0.15,0.95,1.0
13,0.775,0.7617,0.7533,0.7883,0.7967,,quadratic,hybrid,progressive,0.65,0.2,0.95,1.0
14,0.7746,0.7833,0.73,0.7783,0.8067,,quadratic,hybrid,progressive,0.65,0.1,0.95,1.0
15,0.7742,0.7633,0.74,0.8,0.7933,,quadratic,hybrid,progressive,0.65,0.05,0.95,1.0
16,0.7733,0.7983,0.77,0.77,0.755,,simple_majority,token_based,linear,0.5,0.15,0.95,1.0
17,0.7717,0.79,0.6917,0.8183,0.7867,,quadratic,hybrid,linear,0.65,0.0,0.95,1.0
18,0.7717,0.7667,0.7383,0.7733,0.8083,,quadratic,hybrid,exponential,0.65,0.15,0.95,1.0
19,0.7712,0.7983,0.7433,0.7667,0.7767,,quadratic,hybrid,linear,0.65,0.15,0.95,1.0
20,0.7704,0.7967,0.7,0.8017,0.7833,,weighted,token_based,progressive,0.51,0.3,0.95,1.0
21,0.7704,0.7683,0.71,0.79,0.8133,,quadratic,hybrid,exponential,0.65,0.0,0.95,1.0
22,0.77,0.77,0.7683,0.7633,0.7783,,simple_majority,token_based,linear,0.5,0.1,0.95,1.0
23,0.7696,0.76,0.775,0.775,0.7683,,quadratic,hybrid,progressive,0.65,0.3,0.95,1.0
24,0.7688,0.7683,0.7683,0.7567,0.7817,,simple_majority,token_based,linear,0.5,0.0,0.95,1.0
25,0.7683,0.7883,0.7133,0.795,0.7767,,quadratic,hybrid,none,0.65,0.3,0.95,1.0
26,0.7683,0.7617,0.7233,0.8017,0.7867,,quadratic,hybrid,linear,0.65,0.2,0.95,1.0
27,0.7679,0.8117,0.6467,0.8017,0.8117,,weighted,token_based,progressive,0.51,0.15,0.95,1.0
28,0.7679,0.7733,0.6933,0.8267,0.7783,,quadratic,hybrid,exponential,0.65,0.1,0.95,1.0
29,0.7675,0.7817,0.7533,0.7667,0.7683,,simple_majority,token_based,linear,0.5,0.3,0.95,1.0
30,0.7675,0.78,0.725,0.79,0.775,,quadratic,hybrid,none,0.65,0.1,0.95,1.0
31,0.7667,0.76,0.735,0.8033,0.7683,,quadratic,hybrid,exponential,0.65,0.2,0.95,1.0
32,0.7662,0.7967,0.6333,0.8183,0.8167,,weighted,token_based,progressive,0.51,0.1,0.95,1.0
33,0.7662,0.7617,0.7383,0.7833,0.7817,,quadratic,hybrid,none,0.65,0.15,0.95,1.0
34,0.765,0.7583,0.7117,0.795,0.795,,quadratic,hybrid,exponential,0.65,0.05,0.95,1.0
35,0.7638,0.7483,0.7383,0.7767,0.7917,,quadratic,hybrid,none,0.65,0.2,0.95,1.0
36,0.7629,0.7483,0.7183,0.7917,0.7933,,quadratic,hybrid,progressive,0.65,0.0,0.95,1.0
37,0.7604,0.745,0.7083,0.7983,0.79,,quadratic,hybrid,linear,0.65,0.05,0.95,1.0
38,0.7592,0.775,0.7117,0.7717,0.7783,,quadratic,hybrid,none,0.65,0.05,0.95,1.0
39,0.7588,0.7733,0.6783,0.7983,0.785,,weighted,token_based,linear,0.51,0.3,0.95,1.0
40,0.7575,0.7683,0.6833,0.78,0.7983,,weighted,token_based,exponential,0.51,0.2,0.95,1.0
41,0.7575,0.7883,0.685,0.78,0.7767,,weighted,token_based,progressive,0.51,0.25,0.95,1.0
42,0.7567,0.7583,0.6767,0.7933,0.7983,,weighted,token_based,exponential,0.51,0.25,0.95,1.0
43,0.7533,0.73,0.7017,0.8033,0.7783,,weighted,token_based,exponential,0.51,0.3,0.95,1.0
44,0.7504,0.7833,0.6517,0.7783,0.7883,,weighted,token_based,linear,0.51,0.25,0.95,1.0
45,0.75,0.7767,0.6633,0.7833,0.7767,,weighted,token_based,progressive,0.51,0.2,0.95,1.0
46,0.7483,0.7967,0.65,0.7783,0.7683,,weighted,token_based,linear,0.51,0.2,0.95,1.0
47,0.7433,0.7767,0.62,0.7783,0.7983,,weighted,token_based,exponential,0.51,0.1,0.95,1.0
48,0.7371,0.775,0.6083,0.7767,0.7883,,weighted,token_based,linear,0.51,0.15,0.95,1.0
49,0.7358,0.78,0.64,0.7533,0.77,,weighted,token_based,exponential,0.51,0.15,0.95,1.0
50,0.7346,0.795,0.5767,0.7767,0.79,,weighted,token_based,exponential,0.51,0.05,0.95,1.0
51,0.7325,0.7833,0.595,0.7683,0.7833,,weighted,token_based,linear,0.51,0.1,0.95,1.0
52,0.7312,0.7717,0.615,0.7733,0.765,,weighted,token_based,progressive,0.51,0.05,0.95,1.0
53,0.7296,0.7817,0.5717,0.7983,0.7667,,weighted,token_based,linear,0.51,0.0,0.95,1.0
54,0.7292,0.7783,0.5783,0.77,0.79,,weighted,token_based,none,0.51,0.25,0.95,1.0
55,0.7267,0.765,0.57,0.7717,0.8,,weighted,token_based,none,0.51,0.05,0.95,1.0
56,0.7262,0.7667,0.555,0.8183,0.765,,weighted,token_based,exponential,0.51,0.0,0.95,1.0
57,0.7221,0.7933,0.5333,0.7833,0.7783,,weighted,token_based,none,0.51,0.1,0.95,1.0
58,0.7208,0.7933,0.535,0.7683,0.7867,,weighted,token_based,none,0.51,0.15,0.95,1.0
59,0.7196,0.7633,0.5467,0.765,0.8033,,weighted,token_based,none,0.51,0.3,0.95,1.0
60,0.7158,0.7767,0.56,0.745,0.7817,,weighted,token_based,linear,0.51,0.05,0.95,1.0
61,0.7133,0.805,0.5117,0.7617,0.775,,weighted,token_based,progressive,0.51,0.0,0.95,1.0
62,0.7129,0.7767,0.5217,0.78,0.7733,,weighted,token_based,none,0.51,0.0,0.95,1.0
63,0.7092,0.7633,0.5483,0.7433,0.7817,,weighted,token_based,none,0.51,0.2,0.95,1.0
64,0.7042,0.7817,0.5483,0.7517,0.735,,weighted,token_based,none,0.5,0.0,0.95,1.0
